appln_id,title,abstract,earliest_filing_year,green,cpc_subclasses
414778100,Image sensor positioning apparatus and method,"A method is provided for positioning an image sensor having a light receiving plane within a camera and a system is provided for identifying the position of an image sensor. The method comprises projecting a first group of substantially parallel light beams representing a first predetermined pattern onto the light receiving plane of the image sensor at an angle of incidence, projecting a second group of substantially parallel light beams representing a second predetermined pattern onto the light receiving plane of the image sensor at an angle of incidence, registering positions on the light receiving plane of the image sensor where the light beams are detected by the image sensor, generating adjustment information based on the registered positions, indicating if the present position of the image sensor is an erroneous position or not, and adjusting the position of the image sensor based on the adjustment information.",2012,0,G02B|H01L|H04N
545073414,Fuel Vapor Processing Apparatus,"A fuel vapor processing apparatus includes a case having a passage. In addition, the case has a tank port and a purge port in fluid communication with one end of the passage. Further, the case includes an atmosphere port in fluid communication with another end of the passage. The passage has a first layering and a second layering filled with an adsorbent and arranged in series. The first layering includes an upper adsorption layer, a middle adsorption layer, and a lower adsorption layer arranged in series. The upper adsorption layer and the lower adsorption layer are filled with a first adsorbent. The middle adsorption layer is filled with a second adsorbent. The ventilation resistance of the middle adsorption layer due to the second adsorbent is greater than the ventilation resistance of the upper adsorption layer and the lower adsorption layer due to the first adsorbent.",2019,0,B01D|F02M
424022489,Semiconductor layer including compositional inhomogeneities,"A device comprising a semiconductor layer including a plurality of compositional inhomogeneous regions is provided. The difference between an average band gap for the plurality of compositional inhomogeneous regions and an average band gap for a remaining portion of the semiconductor layer can be at least thermal energy. Additionally, a characteristic size of the plurality of compositional inhomogeneous regions can be smaller than an inverse of a dislocation density for the semiconductor layer.",2013,0,H01L|H01S
518725983,PAPER BARRIER MATERIAL,"An object of the present invention is to provide a paper barrier material having excellent gas barrier property as well as excellent water vapor barrier property, comprising a water vapor barrier layer and a gas barrier layer provided on a paper base material in this order. As a means for achieving the object, a paper barrier material is provided, which comprises a water vapor barrier layer and a gas barrier layer provided on a paper base material in this order, wherein such paper barrier material is characterized in that water vapor barrier layer contains a water vapor barrier resin and a water repellent, while the gas barrier layer contains a water-soluble polymer and a surface-active agent.",2016,1,B32B|B65D|D21H
477265230,Via etch method for back contact multijunction solar cells,"This disclosure relates to semiconductor devices and methods for fabricating semiconductor devices. Particularly, the disclosure relates to back-contact-only multijunction solar cells and the process flows for making such solar cells, including a wet etch process that removes semiconductor materials non-selectively without major differences in etch rates between heteroepitaxial III-V semiconductor layers.",2016,1,H01L
505115507,Autonomous vehicle component malfunction impact assessment,"Methods and systems for assessing, detecting, and responding to malfunctions involving components of autonomous vehicles and/or smart homes are described herein. A risk of malfunction and/or cyber-attack may be determined by collecting operating data from a plurality of autonomous vehicles and/or smart homes. The operating data may be analyzed to identify occurrences of a component malfunctioning. For each component, a risk associated with malfunctioning and/or cyber-attack may be determined based upon the identified occurrences. Based on the risks, at least one result associated with the malfunction and/or cyber-attack may be determined. A component profile may be generated based upon the determined risk and/or the impact of the determined results.",2016,1,B60L|B60P|B60R|B60W|G01B|G01C|G01S|G05B|G05D|G06F|G06N|G06Q|G07C|G08B|G08G|G16Y|H04L|H04N
409830726,Fuel gas supply method and supply unit for gas engine,"In a gas engine provided with a gas supply pipe (35) branching into a supercharger-side gas supply pipe (33) and a cylinder-side gas supply pipe (37), a supercharger-side gas adjusting valve (43) and a cylinder-side gas adjusting valve (45) for controlling flow rates of passages, when the gas concentration of the fuel gas changes, the cylinder-side gas adjusting valve is controlled first to keep the output of the gas engine constant and then the supercharger-side gas adjusting valve is controlled to achieve the fuel gas flow rate Q1 based on the constant flow ratio by means of a gas supply controller (63), while maintaining the flow rate ratio Q1/Q2 at a constant value where Q1 is a fuel gas flow rate in the supercharger-side gas supply pipe and Q2 is a fuel gas flow rate in the cylinder-side gas supply pipe.",2011,1,F02B|F02D|F02M
583230242,Improvements in Direct Semiconductor Solar Devices,"A photovoltaic cell includes a semiconductor element (20) formed from a direct semiconductor and a transparent biasing agent (28) overlying a first portion of the front face (22) of the semiconductor, the biasing agent producing a first depletion region (30) in the semiconductor element. A collector (40) directly contacts a second portion of the front face. The collector produces a second depletion region (44) in the semiconductor element. The collector (40) is out of direct conductive contact with the biasing agent (28) but in proximity to the biasing agent. A continuous region at least partially depleted of majority carriers extends between the first and second depletion regions at the front face of the semiconductor element, The continuous region may include overlapping portions of the first and second depletion regions (30,44), or may include an additional depletion region (160) formed by a charged dielectric (147).",2019,0,H01L
485628573,FAN MOTOR AND VACUUM CLEANER HAVING THE SAME,"Disclosed are a fan motor and a vacuum cleaner which include a blowing fan and a plurality of diffuser blades disposed at a radially outer side of the blowing fan and circumferentially spaced apart from each other. Outer end portions of the plurality of diffuser blades include a spoiler portion formed obliquely to an outward direction with respect to an extending direction of the diffuser blades, so that a flow separation of air flowing across an outer surface of the diffuser blade is reduced. Accordingly, the suction force of the fan motor increases.",2016,0,A47L|F04D|F05D
550021128,Methods for producing a 3D semiconductor memory device and structure,"A method for producing a 3D memory device, the method including: providing a first level including a first single crystal layer; forming at least one second level above the first level; performing a first etch step including etching holes within the second level; forming at least one third level above the at least one second level; performing a second etch step including etching holes within the third level; performing additional processing steps to form a plurality of first memory cells within the second level and a plurality of second memory cells within the third level; and performing a bonding of a fourth level above the third level, where the fourth level includes a second single crystal layer, where each of the first memory cells include one first transistor, where each of the second memory cells include one second transistor, where at least one of the first or second transistors has a channel, a source and a drain having a same doping type.",2010,0,B82Y|G11C|H01L|H10B
